#RUN ON SOFTWARE VERSION:
2.1
#FIELD CONFIGURATIONS
Magnet: EM7-CSB
Power supply: LS648
Magnet mode: High field
Head amplitude: 100%
Gap settings: Gap 3 - SSVT
Coil set name: LC-86
Coil set serial number: A13AK
Coil set balance number: 0
Moment X calibration value: -0.0841900193038553 A·m²/volt
Moment X calibration field: 0.5 T
Moment X calibration expected moment: 0.00692 A·m²
Moment X calibration standard ID: Ni Sphere
Moment X calibration comments: 
#SAMPLE SETTINGS
ID: Sample1
Volume: 1.00000 cm³
Area: 1.00000 cm²
Mass: 1.00000 g
Demagnetization factor: 0.00000 in SI µ0H
#REMANENCE CURVES MEASUREMENT
#ACQUISITION SETUP
IRM: False
DCD: True
Saturation field: 2.5 T
Repeat saturation: False
Sequence: Nonlinear
First non-zero field: 100 µT
Number of points: 150
Final field: 2.5 T
Field ramp rate: 400 mT/s
Averaging time: 5 s
#ADVANCED ACQUISITION SETUP
Measure moment at applied fields: False
Pause at saturation: 0 s
Pause at applied field: 0 s
Pause at zero field: 0 s
Moment meter range mode: Manual
Moment meter manual X range: X5 (840 nA·m²)
#DISPLAY SETUP
X axis: Field (µ0H)
Left Y axis: Moment (m)
Right Y axis: None
#EXTRACTED PARAMETERS
No sample characterization parameter extractions enabled.
Hr [T]: -0.0449801972339437
mrMax [A·m²]: 3.19717658487726E-07
mr(100mT)/mrMax [%]: 50.4095951093739
mr(200mT)/mrMax [%]: 76.9897985621983
mr(300mT)/mrMax [%]: 86.871001762697
START TIME: 01/14/2023 08:27:55.514 AM
FINISH TIME: 01/14/2023 09:29:26.964 AM
#DATA: 2
##DATA TABLE Moment (m) [A·m²] vs Field (µ0H) [T]
Step,Iteration,Segment,Field (µ0H) [T],Moment (m) [A·m²],Time Stamp [s],,Field Status,Moment (m) Status,
2,0,0,-0.11054217522705764,-1.7642143425445023E-07,1363.57,GOOD,GOOD,
2,0,0,-0.1160461827666969,-1.8348555811438096E-07,1389.67,GOOD,GOOD,
2,0,0,-0.12181865266865245,-1.9007243880246153E-07,1414.39,GOOD,GOOD,
2,0,0,-0.12787090511832888,-1.9661923528129676E-07,1440.52,GOOD,GOOD,
2,0,0,-0.13421949429631166,-2.0256114217185025E-07,1466.58,GOOD,GOOD,
2,0,0,-0.14087639836240978,-2.0887921688702311E-07,1492.83,GOOD,GOOD,
2,0,0,-0.14785687108908516,-2.1476175045679105E-07,1519.97,GOOD,GOOD,
2,0,0,-0.15518362689893314,-2.2027854045471099E-07,1546.9,GOOD,GOOD,
2,0,0,-0.16286575428801064,-2.2557067560966079E-07,1574.32,GOOD,GOOD,
2,0,0,-0.17092489273660491,-2.3078474711262912E-07,1601.22,GOOD,GOOD,
2,0,0,-0.17938032398057427,-2.3598470405353067E-07,1628.08,GOOD,GOOD,
2,0,0,-0.18824355708076956,-2.4066087409809005E-07,1655.73,GOOD,GOOD,
2,0,0,-0.19754110881068671,-2.4511220629647949E-07,1683.31,GOOD,GOOD,
2,0,0,-0.20729952042023753,-2.4923074357716561E-07,1710.36,GOOD,GOOD,
2,0,0,-0.21752829571187549,-2.5370224353216548E-07,1738.93,GOOD,GOOD,
2,0,0,-0.22825806295361234,-2.5784858772792906E-07,1766.44,GOOD,GOOD,
2,0,0,-0.23950840771537096,-2.6160571260182864E-07,1794.3,GOOD,GOOD,
2,0,0,-0.25131444108821477,-2.6542289070317182E-07,1821.54,GOOD,GOOD,
2,0,0,-0.26369517446039037,-2.6914972487212106E-07,1852.32,GOOD,GOOD,
2,0,0,-0.27668026360484288,-2.7222161156915231E-07,1882.02,GOOD,GOOD,
2,0,0,-0.29029712105067784,-2.7565451966634244E-07,1913.07,GOOD,GOOD,
2,0,0,-0.30458376490814698,-2.7872805354531297E-07,1943.12,GOOD,GOOD,
2,0,0,-0.31956779263426999,-2.8139301528432608E-07,1972.31,GOOD,GOOD,
2,0,0,-0.33528503987934088,-2.8408503890865327E-07,2001.3,GOOD,GOOD,
2,0,0,-0.35176736153927773,-2.8652753012782664E-07,2033.44,GOOD,GOOD,
2,0,0,-0.36905911879082404,-2.8901329272159673E-07,2062.71,GOOD,GOOD,
2,0,0,-0.38719222178598472,-2.9134136655000104E-07,2092.03,GOOD,GOOD,
2,0,0,-0.40621055579182969,-2.9322228691426731E-07,2126.12,GOOD,GOOD,
2,0,0,-0.42616297777952039,-2.9521074336613698E-07,2158.52,GOOD,GOOD,
2,0,0,-0.44708961681909876,-2.968013638402493E-07,2188.27,GOOD,GOOD,
2,0,0,-0.46903383662809583,-2.9861826520584713E-07,2223.07,GOOD,GOOD,
2,0,0,-0.49205445454486779,-3.0029994703849609E-07,2253.04,GOOD,GOOD,
2,0,0,-0.51619816076106562,-3.016311641522237E-07,2289.17,GOOD,GOOD,
2,0,0,-0.54152170816299272,-3.0262306729953356E-07,2322.06,GOOD,GOOD,
2,0,0,-0.56808500296691422,-3.0383073309542033E-07,2356.59,GOOD,GOOD,
2,0,0,-0.59594489567480458,-3.0514306025898051E-07,2389.4,GOOD,GOOD,
2,0,0,-0.62516641136097384,-3.0630984256574681E-07,2422.39,GOOD,GOOD,
2,0,0,-0.65581525769554361,-3.0728290181997064E-07,2458.37,GOOD,GOOD,
2,0,0,-0.68796173225819657,-3.0805214436148111E-07,2494.76,GOOD,GOOD,
2,0,0,-0.72168049780401011,-3.0894858419587978E-07,2529.49,GOOD,GOOD,
2,0,0,-0.75704601981614206,-3.0956830037415924E-07,2567.67,GOOD,GOOD,
2,0,0,-0.79413873383690725,-3.1032594866754541E-07,2602.96,GOOD,GOOD,
2,0,0,-0.83304498309712816,-3.1101519484420113E-07,2639,GOOD,GOOD,
2,0,0,-0.87385267092337748,-3.1172350509206057E-07,2674.65,GOOD,GOOD,
2,0,0,-0.91665637890111518,-3.1250525574913879E-07,2715.03,GOOD,GOOD,
2,0,0,-0.96155047706932051,-3.1311076130781424E-07,2752.32,GOOD,GOOD,
2,0,0,-1.0086341204505913,-3.1365125092151916E-07,2791.67,GOOD,GOOD,
2,0,0,-1.0580224676202643,-3.1402269688073098E-07,2830.84,GOOD,GOOD,
2,0,0,-1.1098220371956899,-3.1432395498717679E-07,2872.48,GOOD,GOOD,
2,0,0,-1.1641563420752439,-3.1497407389286751E-07,2914.44,GOOD,GOOD,
2,0,0,-1.2211440975229062,-3.1533468204270449E-07,2957.92,GOOD,GOOD,
2,0,0,-1.2809169693994251,-3.1560050207721014E-07,3001.73,GOOD,GOOD,
